implementation,rows,cols,timesteps,parallelism,runs,time_seconds,serial_time_seconds,speedup,efficiency_percent
hybrid,1000,1000,1000,8,2,1.1047375000000001,1.133538,1.0260699940031002,12.825874925038752
mpi,1000,1000,1000,1,1,1.071734,1.133538,1.0576672943099688,105.76672943099688
mpi,1000,1000,1000,2,1,0.9797,1.133538,1.157025620087782,57.8512810043891
mpi,1000,1000,1000,4,1,0.870333,1.133538,1.3024187293828913,32.560468234572284
openmp,1000,1000,1000,1,1,1.183297,1.133538,0.9579488496970752,95.79488496970751
openmp,1000,1000,1000,2,1,0.823619,1.133538,1.376289279387678,68.8144639693839
openmp,1000,1000,1000,4,1,0.849725,1.133538,1.334005707728971,33.35014269322428
openmp,1000,1000,1000,8,1,1.035673,1.133538,1.094494111558378,13.681176394479724
pthreads,1000,1000,1000,4,1,0.874222,1.133538,1.296624884754673,32.41562211886683
serial,500,500,1000,1,1,0.179164,0.179164,1.0,100.0
serial,1000,1000,1000,1,1,1.133538,1.133538,1.0,100.0
serial,2000,2000,1000,1,1,5.581062,5.581062,1.0,100.0
