implementation,rows,cols,timesteps,alpha,parallelism,rmse
serial,500,500,1000,0.100000,1,0.0000000000e+00
serial,1000,1000,1000,0.100000,1,0.0000000000e+00
serial,2000,2000,1000,0.100000,1,0.0000000000e+00
openmp,1000,1000,1000,0.100000,1,0.0000000000e+00
openmp,1000,1000,1000,0.100000,2,0.0000000000e+00
openmp,1000,1000,1000,0.100000,4,0.0000000000e+00
openmp,1000,1000,1000,0.100000,8,0.0000000000e+00
openmp,1000,1000,1000,0.100000,16,0.0000000000e+00
pthreads,1000,1000,1000,0.100000,1,0.0000000000e+00
pthreads,1000,1000,1000,0.100000,2,0.0000000000e+00
pthreads,1000,1000,1000,0.100000,4,0.0000000000e+00
pthreads,1000,1000,1000,0.100000,8,0.0000000000e+00
pthreads,1000,1000,1000,0.100000,16,0.0000000000e+00
mpi,1000,1000,1000,0.100000,1,0.0000000000e+00
mpi,1000,1000,1000,0.100000,2,0.0000000000e+00
mpi,1000,1000,1000,0.100000,4,0.0000000000e+00
serial,1000,1000,1000,0.100000,1,0.0000000000e+00
openmp,1000,1000,1000,0.100000,4,0.0000000000e+00
pthreads,500,500,500,0.100000,4,0.0000000000e+00
pthreads,500,500,501,0.100000,4,0.0000000000e+00
pthreads,1000,1000,1000,0.100000,4,0.0000000000e+00
