implementation,rows,cols,timesteps,parallelism,time_seconds
serial,500,500,1000,1,0.192302
serial,1000,1000,1000,1,1.289184
serial,2000,2000,1000,1,6.254286
openmp,1000,1000,1000,1,1.266773
openmp,1000,1000,1000,2,0.898095
openmp,1000,1000,1000,4,0.839017
openmp,1000,1000,1000,8,0.992374
openmp,1000,1000,1000,16,1.286003
mpi,1000,1000,1000,1,1.292413
mpi,1000,1000,1000,2,0.809556
mpi,1000,1000,1000,4,0.904311
serial,1000,1000,1000,1,2.327012
openmp,1000,1000,1000,4,1.749545
pthreads,500,500,500,4,0.150566
pthreads,500,500,501,4,0.162510
pthreads,1000,1000,1000,4,1.742009
